Evil Geniuses,19
Team Reciprocity,0
Rogue,3
DarkZero,7
Rise Nation,5
Spacestation Gaming,6
Excelerate Gaming,0
OrgLess,1
G2 Esports,3542
Team Empire,436
PENTA Sports,248
Team Secret,83
Mock-it-Esports,605
LeStream Esport,32
Chaos,338
ENCE Esports,708
Black Dragons,2
Immortals,1
Pain Gaming,1
Ninjas In Pyjamas,3
INTZ Esports,0
Team Liquid,25
FaZe Clan,37
Red Devils Esports,0
Fnatic,3
Nora-Rengo Esports,1

